Year and Month,International Tourists,HK/Macau Tourists,Taiwan Tourists
2024/06,40.39,5.22,10.06
2024/05,41.82,4.76,10.05
2024/04,47.76,5.22,9.85
2024/03,41.83,5.97,8.82
2024/02,23.12,3.54,8.04
2024/01,25.51,3.48,6.84
2023/12,31.57,6.16,6.76
2023/11,34.38,5.23,8.16
2023/10,29.17,4.58,8.57
2023/9,26.97,3.76,6.83
2023/8,22.03,4.2,7.91
2023/7,21.44,4.2,8.38
2023/6,21.06,3.79,7.54
2023/5,19.19,3.61,6.68
2023/4,15.47,4.42,6.03
2023/3,10.64,3.18,4.87
2023/2,5.89,1.74,4.11
2023/1,3.37,0.99,1.57
2022/12,3.79,0.75,1.2
2022/11,5.91,1.06,1.57
2022/10,3.77,1.08,1.26
2022/9,3.81,0.99,1.15
2022/8,3.95,0.84,1.08
2022/7,3.17,0.44,0.78
2022/6,2.75,0.41,0.72
2022/5,NaN,NaN,NaN
2022/4,NaN,NaN,NaN
2022/3,NaN,NaN,NaN
2022/2,NaN,NaN,NaN
2022/1,3.8,1.1,1.84
2021/12,4.24,1.28,2.11
2021/11,3.96,1.59,2.24
2021/10,5.43,1.96,2.72
2021/9,4.16,1.28,2.06
2021/8,4.31,1.21,2.09
2021/7,6.01,2.39,2.84
2021/6,5.27,1.97,2.41
2021/5,5.49,2.07,2.59
2021/4,5.49,1.91,2.41
2021/3,4.86,1.6,2.67
2021/2,3.52,0.79,1.51
2021/1,3.93,1.13,1.8
2020/12,5.47,1.51,2.05
2020/11,5.18,1.5,2.21
2020/10,5.66,1.66,2.77
2020/9,5.11,1.47,2.68
2020/8,4.78,1.42,2.75
2020/7,3.73,1.02,2.11
2020/6,3.01,0.65,1.65
2020/5,2.49,0.58,1.62
2020/4,0.86,0.21,0.63
2020/3,4.2,0.38,2.02
2020/2,4.81,0.62,2.82
2020/1,37.71,4.3,6.97
2019/12,56.81,6.75,9.44
2019/11,66.94,6.7,10.84
2019/10,68.18,6.84,12
2019/9,61.66,5.66,9.8
2019/8,54.03,6.04,10.96
2019/7,51.64,7.33,11.68
2019/6,56.99,6.78,11.13
2019/5,60.28,6.5,10.94
2019/4,64.08,7.83,10.76
2019/3,64.82,6.49,11.2
2019/2,39.14,4.77,11.26
2019/1,47.55,5.18,8.22
2018/12,53.7,7.32,10.35
2018/11,66.4,7.08,11.24
2018/10,68.27,7.08,12.11
2018/9,61.99,6.03,10.28
2018/8,53.6,6.14,11.85
2018/7,52.45,6.79,12.27
2018/6,55.66,6.5,10.98
2018/5,62.34,6.46,11.64
2018/4,63.94,6.59,11.49
2018/3,64.61,7.08,10.68
2018/2,33.52,4.62,8.92
2018/1,49.42,5.09,9.23
2017/12,53.89,7.38,10.14
2017/11,62.18,6.89,11.05
2017/10,64.09,6.67,11.61
2017/9,60.81,5.68,9.69
2017/8,53.99,5.86,11.69
2017/7,51.97,6.16,11.69
